Rule ID,IF (Antecedents),THEN (Consequents),Support,Confidence,Confidence (%),Lift
22,Height_Height_160_170,"Heart Rate_HR_Normal, Temperature_Temp_Normal",0.1158,0.586,58.6%,1.0152
23,"Diabetes_No, Height_Height_160_170","Heart Rate_HR_Normal, Smoking_No",0.1051,0.5967,59.67%,1.0151
24,"Diabetes_No, Height_Height_160_170","Heart Rate_HR_Normal, Temperature_Temp_Normal",0.1032,0.5859,58.59%,1.0151
25,Height_Height_160_170,"Diabetes_No, Heart Rate_HR_Normal, Smoking_No",0.1051,0.5319,53.19%,1.0147
26,"Age_Age_23_27, Cholesterol_Chol_Normal","Heart Rate_HR_Normal, Smoking_No",0.1059,0.5962,59.62%,1.0142
27,Height_Height_160_170,"Diabetes_No, Smoking_No, Temperature_Temp_Normal",0.1099,0.5562,55.62%,1.0134
28,"Blood Type_O, Cholesterol_Chol_Normal","Diabetes_No, Temperature_Temp_Normal",0.1083,0.702,70.2%,1.0129
29,"Diabetes_No, Height_Height_160_170","Smoking_No, Temperature_Temp_Normal",0.1099,0.6239,62.39%,1.0126
30,"Age_Age_23_27, Cholesterol_Chol_Normal","Diabetes_No, Smoking_No",0.1269,0.7142,71.42%,1.0123
31,"Height_Height_160_170, Temperature_Temp_Normal","Diabetes_No, Heart Rate_HR_Normal",0.1032,0.6695,66.95%,1.0123
32,"Height_Height_160_170, Temperature_Temp_Normal",Heart Rate_HR_Normal,0.1158,0.7511,75.11%,1.0123
33,"Diabetes_No, Height_Height_160_170, Temperature_Temp_Normal",Heart Rate_HR_Normal,0.1032,0.7508,75.08%,1.0119
34,"Blood Type_A, Diabetes_No, Heart Rate_HR_Normal, Temperature_Temp_Normal",Smoking_No,0.1003,0.8009,80.09%,1.0117
35,"Age_Age_23_27, Blood Pressure_BP_Normal","Heart Rate_HR_Normal, Temperature_Temp_Normal",0.1007,0.5839,58.39%,1.0116
36,Height_Height_160_170,Heart Rate_HR_Normal,0.1483,0.7503,75.03%,1.0111
37,Blood Type_O,Gender_Female,0.1256,0.5009,50.09%,1.011
38,"Blood Type_O, Diabetes_No",Gender_Female,0.1121,0.5008,50.08%,1.0109
39,"Blood Type_O, Cholesterol_Chol_Normal, Diabetes_No",Temperature_Temp_Normal,0.1083,0.7868,78.68%,1.0108
40,BMI_BMI_Overweight,"Diabetes_No, Smoking_No, Temperature_Temp_Normal",0.1085,0.5547,55.47%,1.0107
41,BMI_BMI_Overweight,"Smoking_No, Temperature_Temp_Normal",0.1217,0.6227,62.27%,1.0106
42,"Height_Height_160_170, Temperature_Temp_Normal","Diabetes_No, Smoking_No",0.1099,0.7129,71.29%,1.0105
43,"Blood Type_A, Diabetes_No, Temperature_Temp_Normal","Heart Rate_HR_Normal, Smoking_No",0.1003,0.5939,59.39%,1.0104
44,Height_Height_160_170,"Diabetes_No, Heart Rate_HR_Normal",0.1321,0.6681,66.81%,1.0103
45,"Height_Height_160_170, Smoking_No","Diabetes_No, Heart Rate_HR_Normal",0.1051,0.6681,66.81%,1.0103
46,"Height_Height_160_170, Smoking_No",Heart Rate_HR_Normal,0.118,0.7496,74.96%,1.0103
47,"Age_Age_18_22, Diabetes_No, Smoking_No",Gender_Female,0.1026,0.5005,50.05%,1.0102
48,"Diabetes_No, Height_Height_160_170",Heart Rate_HR_Normal,0.1321,0.7495,74.95%,1.0101
49,"Diabetes_No, Height_Height_160_170, Temperature_Temp_Normal",Smoking_No,0.1099,0.7996,79.96%,1.01
50,"Age_Age_23_27, Cholesterol_Chol_Normal, Heart Rate_HR_Normal",Smoking_No,0.1059,0.7994,79.94%,1.0098
51,"Blood Type_O, Cholesterol_Chol_Normal",Temperature_Temp_Normal,0.1213,0.786,78.6%,1.0097
52,"Blood Type_AB, Temperature_Temp_Normal","Blood Pressure_BP_Normal, Diabetes_No",0.101,0.5341,53.41%,1.0097
53,"Blood Type_A, Diabetes_No","Heart Rate_HR_Normal, Smoking_No",0.1292,0.5935,59.35%,1.0097
54,"Blood Type_A, Heart Rate_HR_Normal, Temperature_Temp_Normal",Smoking_No,0.1128,0.7993,79.93%,1.0097
55,"Age_Age_23_27, Cholesterol_Chol_Normal, Diabetes_No",Smoking_No,0.1269,0.7992,79.92%,1.0096
56,Height_Height_160_170,"Smoking_No, Temperature_Temp_Normal",0.123,0.622,62.2%,1.0096
57,"BMI_BMI_Overweight, Diabetes_No","Smoking_No, Temperature_Temp_Normal",0.1085,0.622,62.2%,1.0094
58,"Blood Type_A, Temperature_Temp_Normal","Heart Rate_HR_Normal, Smoking_No",0.1128,0.5933,59.33%,1.0094
59,"Age_Age_18_22, Temperature_Temp_Normal","Cholesterol_Chol_Normal, Diabetes_No",0.1254,0.5549,55.49%,1.0092
60,"Smoking_No, Temperature_Temp_Fever","Diabetes_No, Heart Rate_HR_Normal",0.1116,0.6674,66.74%,1.0091
61,Blood Type_A,"Heart Rate_HR_Normal, Smoking_No",0.145,0.5931,59.31%,1.0089
62,Temperature_Temp_Fever,"Diabetes_No, Heart Rate_HR_Normal, Smoking_No",0.1116,0.5288,52.88%,1.0088
63,"Blood Type_A, Diabetes_No, Heart Rate_HR_Normal",Smoking_No,0.1292,0.7986,79.86%,1.0088
64,"Age_Age_18_22, Blood Pressure_BP_Normal",Cholesterol_Chol_Normal,0.1074,0.6221,62.21%,1.0088
65,Age_Age_23_27,"Diabetes_No, Smoking_No, Temperature_Temp_Normal",0.1607,0.5536,55.36%,1.0088
66,"BMI_BMI_Normal, Gender_Male","Diabetes_No, Heart Rate_HR_Normal",0.1094,0.6671,66.71%,1.0087
67,"Age_Age_18_22, Heart Rate_HR_Normal","Cholesterol_Chol_Normal, Diabetes_No",0.1197,0.5546,55.46%,1.0087
68,BMI_BMI_Overweight,"Diabetes_No, Heart Rate_HR_Normal, Temperature_Temp_Normal",0.1013,0.5183,51.83%,1.0086
69,"Age_Age_23_27, Diabetes_No, Temperature_Temp_Normal",Smoking_No,0.1607,0.7984,79.84%,1.0085
70,"Age_Age_23_27, Cholesterol_Chol_Normal","Smoking_No, Temperature_Temp_Normal",0.1104,0.6214,62.14%,1.0085
71,Age_Age_18_22,"Cholesterol_Chol_Normal, Diabetes_No",0.1612,0.5545,55.45%,1.0085
72,"Age_Age_23_27, Cholesterol_Chol_Normal, Temperature_Temp_Normal",Smoking_No,0.1104,0.7983,79.83%,1.0084
73,"BMI_BMI_Normal, Cholesterol_Chol_Normal, Smoking_No","Diabetes_No, Heart Rate_HR_Normal",0.1075,0.6669,66.69%,1.0083
74,"Age_Age_18_22, Diabetes_No, Heart Rate_HR_Normal",Cholesterol_Chol_Normal,0.1197,0.6218,62.18%,1.0083
75,"Age_Age_23_27, Diabetes_No","Smoking_No, Temperature_Temp_Normal",0.1607,0.6213,62.13%,1.0083
76,"Age_Age_23_27, Cholesterol_Chol_Normal",Smoking_No,0.1418,0.7982,79.82%,1.0082
77,"Age_Age_23_27, Cholesterol_Chol_Normal","Diabetes_No, Heart Rate_HR_Normal",0.1184,0.6667,66.67%,1.0081
78,"Blood Type_AB, Diabetes_No, Temperature_Temp_Normal",Blood Pressure_BP_Normal,0.101,0.599,59.9%,1.0081
79,"Height_Height_160_170, Smoking_No","Diabetes_No, Temperature_Temp_Normal",0.1099,0.6986,69.86%,1.008
80,Height_Height_160_170,"Diabetes_No, Smoking_No",0.1406,0.7112,71.12%,1.008
81,"Age_Age_18_22, Diabetes_No",Cholesterol_Chol_Normal,0.1612,0.6216,62.16%,1.008
82,"Age_Age_23_27, Heart Rate_HR_Normal, Temperature_Temp_Normal",Blood Pressure_BP_Normal,0.1007,0.5989,59.89%,1.008
83,Blood Type_A,"Diabetes_No, Heart Rate_HR_Normal, Smoking_No",0.1292,0.5283,52.83%,1.0079
84,"Diabetes_No, Height_Height_160_170, Smoking_No",Heart Rate_HR_Normal,0.1051,0.7479,74.79%,1.0079
85,Age_Age_23_27,"Smoking_No, Temperature_Temp_Normal",0.1803,0.621,62.1%,1.0079
86,Blood Type_O,"Diabetes_No, Temperature_Temp_Normal",0.1752,0.6986,69.86%,1.0079
87,"Blood Pressure_BP_Normal, Blood Type_O, Diabetes_No",Temperature_Temp_Normal,0.1043,0.7845,78.45%,1.0078
88,"Diabetes_No, Height_Height_160_170",Smoking_No,0.1406,0.7978,79.78%,1.0077
89,"Blood Type_O, Heart Rate_HR_Normal","Diabetes_No, Temperature_Temp_Normal",0.1298,0.6984,69.84%,1.0077
90,"Blood Type_A, Heart Rate_HR_Normal",Smoking_No,0.145,0.7977,79.77%,1.0077
91,"Blood Pressure_BP_Normal, Cholesterol_Chol_Borderline, Temperature_Temp_Normal",Heart Rate_HR_Normal,0.105,0.7477,74.77%,1.0077
92,"Diabetes_No, Smoking_No, Temperature_Temp_Fever",Heart Rate_HR_Normal,0.1116,0.7477,74.77%,1.0076
93,Weight_Weight_50_60,"Diabetes_No, Heart Rate_HR_Normal",0.1112,0.6663,66.63%,1.0075
94,"Age_Age_18_22, Temperature_Temp_Normal",Cholesterol_Chol_Normal,0.1404,0.6213,62.13%,1.0075
95,"Diabetes_No, Height_Height_150_160","Heart Rate_HR_Normal, Smoking_No",0.1049,0.5922,59.22%,1.0075
96,Age_Age_18_22,Cholesterol_Chol_Normal,0.1806,0.6212,62.12%,1.0075
97,"Age_Age_23_27, Blood Pressure_BP_Normal","Smoking_No, Temperature_Temp_Normal",0.1071,0.6207,62.07%,1.0074
98,"Blood Pressure_BP_Normal, Blood Type_O","Diabetes_No, Temperature_Temp_Normal",0.1043,0.6982,69.82%,1.0074
99,"Blood Type_A, Heart Rate_HR_Normal","Smoking_No, Temperature_Temp_Normal",0.1128,0.6207,62.07%,1.0074
100,"Blood Type_A, Diabetes_No, Heart Rate_HR_Normal",Cholesterol_Chol_Normal,0.1005,0.6212,62.12%,1.0074
101,"Age_Age_23_27, Diabetes_No, Gender_Male",Smoking_No,0.1016,0.7975,79.75%,1.0074
102,"Age_Age_23_27, Diabetes_No","Heart Rate_HR_Normal, Smoking_No",0.1532,0.5921,59.21%,1.0073
103,"Blood Type_AB, Heart Rate_HR_Normal","Diabetes_No, Smoking_No",0.1286,0.7107,71.07%,1.0073
104,"Blood Type_A, Heart Rate_HR_Normal","Diabetes_No, Smoking_No",0.1292,0.7107,71.07%,1.0073
105,"Blood Type_AB, Temperature_Temp_Normal",Blood Pressure_BP_Normal,0.1131,0.5985,59.85%,1.0072
106,"Height_Height_160_170, Temperature_Temp_Normal",Smoking_No,0.123,0.7974,79.74%,1.0072
107,"Age_Age_18_22, Diabetes_No, Temperature_Temp_Normal",Cholesterol_Chol_Normal,0.1254,0.6211,62.11%,1.0072
108,"Blood Type_A, Diabetes_No, Temperature_Temp_Normal",Smoking_No,0.1346,0.7973,79.73%,1.0071
109,"Cholesterol_Chol_Normal, Gender_Male, Smoking_No","Diabetes_No, Heart Rate_HR_Normal",0.1603,0.6661,66.61%,1.0071
110,"Diabetes_No, Temperature_Temp_Fever","Heart Rate_HR_Normal, Smoking_No",0.1116,0.592,59.2%,1.0071
111,"Age_Age_28_34, BMI_BMI_Normal",Temperature_Temp_Normal,0.1062,0.7839,78.39%,1.0071
112,"Blood Type_A, Heart Rate_HR_Normal, Temperature_Temp_Normal","Diabetes_No, Smoking_No",0.1003,0.7106,71.06%,1.0071
113,"Cholesterol_Chol_Normal, Heart Rate_HR_High",Temperature_Temp_Normal,0.108,0.7839,78.39%,1.0071
114,"Diabetes_No, Weight_Weight_50_60",Heart Rate_HR_Normal,0.1112,0.7472,74.72%,1.0071
115,"Blood Pressure_BP_Normal, Blood Type_O",Temperature_Temp_Normal,0.1171,0.7839,78.39%,1.0071
116,"BMI_BMI_Overweight, Diabetes_No","Heart Rate_HR_Normal, Temperature_Temp_Normal",0.1013,0.5812,58.12%,1.007
117,"Age_Age_23_27, Temperature_Temp_Normal","Diabetes_No, Smoking_No",0.1607,0.7105,71.05%,1.007
118,Blood Type_O,"Diabetes_No, Heart Rate_HR_Normal, Temperature_Temp_Normal",0.1298,0.5175,51.75%,1.0069
119,Temperature_Temp_Fever,"Diabetes_No, Heart Rate_HR_Normal",0.1406,0.6659,66.59%,1.0069
120,"Age_Age_18_22, Heart Rate_HR_Normal",Cholesterol_Chol_Normal,0.134,0.6209,62.09%,1.0069
121,"Blood Type_AB, Smoking_No","Blood Pressure_BP_Normal, Diabetes_No",0.103,0.5326,53.26%,1.0068
122,BMI_BMI_Overweight,"Blood Pressure_BP_Normal, Diabetes_No",0.1041,0.5326,53.26%,1.0068
123,"Blood Type_B, Diabetes_No, Smoking_No",Blood Pressure_BP_Normal,0.1054,0.5982,59.82%,1.0068
124,"Heart Rate_HR_Normal, Height_Height_190_200","Diabetes_No, Smoking_No",0.1036,0.7103,71.03%,1.0068
125,Weight_Weight_60_70,"Diabetes_No, Smoking_No",0.1167,0.7103,71.03%,1.0067
126,"Age_Age_23_27, Temperature_Temp_Normal",Smoking_No,0.1803,0.797,79.7%,1.0067
127,BMI_BMI_Overweight,"Heart Rate_HR_Normal, Temperature_Temp_Normal",0.1136,0.5811,58.11%,1.0067
128,"BMI_BMI_Overweight, Heart Rate_HR_Normal","Diabetes_No, Temperature_Temp_Normal",0.1013,0.6978,69.78%,1.0067
129,"Age_Age_23_27, Diabetes_No",Smoking_No,0.2062,0.797,79.7%,1.0067
130,"Cholesterol_Chol_Borderline, Heart Rate_HR_Normal, Temperature_Temp_Normal",Blood Pressure_BP_Normal,0.105,0.5982,59.82%,1.0067
131,"Heart Rate_HR_Normal, Temperature_Temp_Fever","Diabetes_No, Smoking_No",0.1116,0.7102,71.02%,1.0067
132,Weight_Weight_60_70,"Diabetes_No, Temperature_Temp_Normal",0.1146,0.6977,69.77%,1.0066
133,Age_Age_23_27,"Diabetes_No, Smoking_No",0.2062,0.7102,71.02%,1.0066
134,Age_Age_23_27,"Diabetes_No, Heart Rate_HR_Normal, Smoking_No",0.1532,0.5276,52.76%,1.0066
135,"BMI_BMI_Overweight, Diabetes_No, Heart Rate_HR_Normal",Temperature_Temp_Normal,0.1013,0.7835,78.35%,1.0066
136,"Age_Age_23_27, Diabetes_No, Temperature_Temp_Normal","Heart Rate_HR_Normal, Smoking_No",0.1191,0.5917,59.17%,1.0066
137,"BMI_BMI_Underweight, Heart Rate_HR_Normal","Blood Pressure_BP_Normal, Diabetes_No",0.1104,0.5325,53.25%,1.0066
138,"Age_Age_23_27, Cholesterol_Chol_Normal, Smoking_No",Heart Rate_HR_Normal,0.1059,0.7469,74.69%,1.0066
139,Blood Type_AB,"Blood Pressure_BP_Normal, Diabetes_No",0.13,0.5325,53.25%,1.0066
140,"Blood Pressure_BP_High, Heart Rate_HR_Normal",Smoking_No,0.1055,0.7969,79.69%,1.0066
141,Height_Height_190_200,"Cholesterol_Chol_Normal, Diabetes_No",0.1094,0.5535,55.35%,1.0066
142,"Age_Age_23_27, Gender_Female","Diabetes_No, Smoking_No",0.1024,0.7102,71.02%,1.0066
143,"BMI_BMI_Overweight, Temperature_Temp_Normal",Smoking_No,0.1217,0.7969,79.69%,1.0066
144,"BMI_BMI_Underweight, Cholesterol_Chol_Normal, Heart Rate_HR_Normal",Smoking_No,0.1017,0.7969,79.69%,1.0065
145,"Age_Age_18_22, Heart Rate_HR_Normal, Temperature_Temp_Normal",Cholesterol_Chol_Normal,0.1041,0.6207,62.07%,1.0065
146,Age_Age_23_27,"Heart Rate_HR_Normal, Smoking_No",0.1717,0.5916,59.16%,1.0064
147,"BMI_BMI_Normal, Diabetes_No, Gender_Male",Heart Rate_HR_Normal,0.1094,0.7468,74.68%,1.0064
148,"Blood Type_A, Diabetes_No, Heart Rate_HR_Normal","Smoking_No, Temperature_Temp_Normal",0.1003,0.6201,62.01%,1.0064
149,"Blood Type_A, Heart Rate_HR_Normal",Cholesterol_Chol_Normal,0.1128,0.6206,62.06%,1.0063
150,"Heart Rate_HR_High, Temperature_Temp_Normal",Cholesterol_Chol_Normal,0.108,0.6205,62.05%,1.0063
151,"Cholesterol_Chol_Normal, Gender_Male, Smoking_No","Diabetes_No, Heart Rate_HR_Normal, Temperature_Temp_Normal",0.1245,0.5172,51.72%,1.0063
152,Temperature_Temp_Fever,"Heart Rate_HR_Normal, Smoking_No",0.1249,0.5915,59.15%,1.0062
153,"Age_Age_23_27, Gender_Male","Diabetes_No, Smoking_No",0.1016,0.7099,70.99%,1.0062
154,"Age_Age_23_27, Gender_Female",Heart Rate_HR_Normal,0.1076,0.7466,74.66%,1.0062
155,"BMI_BMI_Normal, Cholesterol_Chol_Normal, Diabetes_No, Smoking_No",Heart Rate_HR_Normal,0.1075,0.7466,74.66%,1.0062
156,"Blood Type_O, Heart Rate_HR_Normal",Temperature_Temp_Normal,0.1456,0.7832,78.32%,1.0062
157,"Blood Type_A, Temperature_Temp_Normal","Diabetes_No, Heart Rate_HR_Normal, Smoking_No",0.1003,0.5274,52.74%,1.0062
158,"Age_Age_18_22, Gender_Female, Temperature_Temp_Normal",Diabetes_No,0.1009,0.8966,89.66%,1.0062
159,"Blood Type_B, Smoking_No",Blood Pressure_BP_Normal,0.1185,0.5979,59.79%,1.0062
160,Weight_Weight_60_70,"Smoking_No, Temperature_Temp_Normal",0.1019,0.62,62.0%,1.0062
161,"Blood Type_O, Heart Rate_HR_Normal",Blood Pressure_BP_Normal,0.1111,0.5979,59.79%,1.0062
162,"BMI_BMI_Normal, Blood Pressure_BP_Normal","Diabetes_No, Temperature_Temp_Normal",0.1376,0.6974,69.74%,1.0062
163,"BMI_BMI_Normal, Gender_Male",Heart Rate_HR_Normal,0.1225,0.7465,74.65%,1.0061
164,"BMI_BMI_Normal, Smoking_No","Diabetes_No, Heart Rate_HR_Normal",0.1743,0.6654,66.54%,1.0061
165,"Cholesterol_Chol_Normal, Gender_Male","Diabetes_No, Heart Rate_HR_Normal, Smoking_No",0.1603,0.5274,52.74%,1.0061
166,"Smoking_No, Temperature_Temp_Fever",Heart Rate_HR_Normal,0.1249,0.7465,74.65%,1.0061
167,"Blood Type_A, Temperature_Temp_Normal",Smoking_No,0.1514,0.7965,79.65%,1.0061
168,"BMI_BMI_Overweight, Temperature_Temp_Normal","Diabetes_No, Smoking_No",0.1085,0.7098,70.98%,1.0061
169,"Diabetes_No, Height_Height_150_160, Smoking_No",Heart Rate_HR_Normal,0.1049,0.7464,74.64%,1.0059
170,"Age_Age_23_27, Gender_Male",Smoking_No,0.114,0.7963,79.63%,1.0059
171,"Age_Age_23_27, Blood Pressure_BP_Normal",Heart Rate_HR_Normal,0.1288,0.7464,74.64%,1.0059
172,"Blood Type_B, Smoking_No","Blood Pressure_BP_Normal, Diabetes_No",0.1054,0.5321,53.21%,1.0058
173,"Age_Age_23_27, Diabetes_No, Gender_Female",Smoking_No,0.1024,0.7962,79.62%,1.0058
174,"Blood Type_A, Cholesterol_Chol_Normal",Heart Rate_HR_Normal,0.1128,0.7463,74.63%,1.0057
175,"Blood Type_O, Smoking_No","Diabetes_No, Temperature_Temp_Normal",0.1377,0.6971,69.71%,1.0057
176,"Cholesterol_Chol_Normal, Gender_Male","Diabetes_No, Heart Rate_HR_Normal, Temperature_Temp_Normal",0.1571,0.5169,51.69%,1.0057
177,"BMI_BMI_Overweight, Cholesterol_Chol_Normal",Diabetes_No,0.1079,0.8961,89.61%,1.0056
178,BMI_BMI_Overweight,Blood Pressure_BP_Normal,0.1168,0.5976,59.76%,1.0056
179,Height_Height_160_170,Smoking_No,0.1574,0.7961,79.61%,1.0056
180,"Diabetes_No, Heart Rate_HR_Normal, Height_Height_160_170",Smoking_No,0.1051,0.7961,79.61%,1.0056
181,"Cholesterol_Chol_Normal, Diabetes_No, Gender_Male","Heart Rate_HR_Normal, Smoking_No",0.1603,0.5911,59.11%,1.0056
182,"Age_Age_23_27, Blood Pressure_BP_Normal",Temperature_Temp_Normal,0.135,0.7827,78.27%,1.0056
183,BMI_BMI_Overweight,"Diabetes_No, Temperature_Temp_Normal",0.1363,0.6969,69.69%,1.0055
184,"BMI_BMI_Overweight, Smoking_No","Diabetes_No, Temperature_Temp_Normal",0.1085,0.6969,69.69%,1.0055
185,"Age_Age_23_27, Cholesterol_Chol_Normal, Diabetes_No",Heart Rate_HR_Normal,0.1184,0.7461,74.61%,1.0055
186,Blood Type_O,Temperature_Temp_Normal,0.1963,0.7827,78.27%,1.0055
187,"BMI_BMI_Underweight, Diabetes_No, Weight_Weight_40_50",Smoking_No,0.1007,0.796,79.6%,1.0055
188,"Age_Age_23_27, Temperature_Temp_Normal","Heart Rate_HR_Normal, Smoking_No",0.1337,0.591,59.1%,1.0055
189,"Blood Type_O, Diabetes_No",Temperature_Temp_Normal,0.1752,0.7826,78.26%,1.0054
190,Age_Age_23_27,Smoking_No,0.2311,0.796,79.6%,1.0054
191,"Age_Age_18_22, Gender_Male",Heart Rate_HR_Normal,0.1066,0.746,74.6%,1.0054
192,"Cholesterol_Chol_Normal, Diabetes_No, Gender_Male, Smoking_No",Heart Rate_HR_Normal,0.1603,0.746,74.6%,1.0054
193,Blood Type_O,"Heart Rate_HR_Normal, Temperature_Temp_Normal",0.1456,0.5803,58.03%,1.0054
194,"Blood Type_O, Diabetes_No, Heart Rate_HR_Normal",Temperature_Temp_Normal,0.1298,0.7826,78.26%,1.0054
195,"Blood Type_A, Heart Rate_HR_Normal","Diabetes_No, Smoking_No, Temperature_Temp_Normal",0.1003,0.5518,55.18%,1.0054
196,"Blood Type_A, Diabetes_No",Smoking_No,0.1732,0.7959,79.59%,1.0054
197,Blood Pressure_BP_High,"Diabetes_No, Smoking_No",0.1272,0.7093,70.93%,1.0054
198,Blood Type_A,"Smoking_No, Temperature_Temp_Normal",0.1514,0.6195,61.95%,1.0054
199,BMI_BMI_Overweight,"Heart Rate_HR_Normal, Smoking_No",0.1155,0.5909,59.09%,1.0054
200,"Age_Age_23_27, Blood Pressure_BP_Normal, Temperature_Temp_Normal",Heart Rate_HR_Normal,0.1007,0.746,74.6%,1.0054
201,Blood Type_AB,"Diabetes_No, Heart Rate_HR_Normal, Smoking_No",0.1286,0.527,52.7%,1.0053
202,"BMI_BMI_Normal, Cholesterol_Chol_Normal, Smoking_No",Heart Rate_HR_Normal,0.1203,0.746,74.6%,1.0053
203,"Blood Type_AB, Cholesterol_Chol_Normal","Diabetes_No, Smoking_No",0.1068,0.7093,70.93%,1.0053
204,BMI_BMI_Overweight,Smoking_No,0.1556,0.7959,79.59%,1.0053
205,"Cholesterol_Chol_Normal, Temperature_Temp_Fever",Smoking_No,0.1031,0.7959,79.59%,1.0053
206,"Age_Age_23_27, Blood Pressure_BP_Normal, Diabetes_No",Temperature_Temp_Normal,0.1201,0.7825,78.25%,1.0053
207,"Blood Type_A, Heart Rate_HR_Normal","Cholesterol_Chol_Normal, Diabetes_No",0.1005,0.5528,55.28%,1.0053
208,"Blood Pressure_BP_Normal, Gender_Male","Heart Rate_HR_Normal, Temperature_Temp_Normal",0.1708,0.5803,58.03%,1.0053
209,"BMI_BMI_Overweight, Diabetes_No, Temperature_Temp_Normal",Smoking_No,0.1085,0.7959,79.59%,1.0053
210,Height_Height_150_160,"Heart Rate_HR_Normal, Smoking_No",0.118,0.5909,59.09%,1.0053
211,"Age_Age_23_27, Blood Pressure_BP_Normal","Heart Rate_HR_Normal, Smoking_No",0.1019,0.5909,59.09%,1.0052
212,"Blood Type_AB, Smoking_No","Diabetes_No, Heart Rate_HR_Normal",0.1286,0.6648,66.48%,1.0052
213,"Age_Age_18_22, Gender_Female","Diabetes_No, Temperature_Temp_Normal",0.1009,0.6967,69.67%,1.0052
214,"Diabetes_No, Height_Height_190_200",Cholesterol_Chol_Normal,0.1094,0.6198,61.98%,1.0052
215,"BMI_BMI_Normal, Gender_Female","Diabetes_No, Temperature_Temp_Normal",0.115,0.6967,69.67%,1.0052
216,"Blood Type_A, Cholesterol_Chol_Normal","Diabetes_No, Heart Rate_HR_Normal",0.1005,0.6648,66.48%,1.0052
217,Blood Type_A,Smoking_No,0.1945,0.7957,79.57%,1.0051
218,"BMI_BMI_Overweight, Smoking_No",Temperature_Temp_Normal,0.1217,0.7824,78.24%,1.0051
219,"Blood Type_AB, Heart Rate_HR_Normal",Blood Pressure_BP_Normal,0.1081,0.5972,59.72%,1.0051
220,"BMI_BMI_Overweight, Diabetes_No",Blood Pressure_BP_Normal,0.1041,0.5972,59.72%,1.0051
221,"Blood Type_AB, Cholesterol_Chol_Normal, Diabetes_No",Smoking_No,0.1068,0.7957,79.57%,1.0051
222,"Blood Pressure_BP_Normal, Cholesterol_Chol_Normal, Gender_Male, Smoking_No",Heart Rate_HR_Normal,0.1064,0.7458,74.58%,1.0051
223,"Age_Age_23_27, Blood Pressure_BP_Normal, Diabetes_No",Heart Rate_HR_Normal,0.1145,0.7458,74.58%,1.005
224,"Age_Age_23_27, Heart Rate_HR_Normal","Diabetes_No, Smoking_No",0.1532,0.7091,70.91%,1.005
225,"Age_Age_23_27, Blood Pressure_BP_Normal, Heart Rate_HR_Normal",Temperature_Temp_Normal,0.1007,0.7823,78.23%,1.005
226,"Age_Age_23_27, Cholesterol_Chol_Normal",Heart Rate_HR_Normal,0.1325,0.7457,74.57%,1.005
227,"BMI_BMI_Overweight, Diabetes_No, Smoking_No",Temperature_Temp_Normal,0.1085,0.7823,78.23%,1.005
